,Title,Published_date,Views,Likes,Comments,Month
59,Imran Khan vs Pakistan Army | Who will Win? | Dhruv Rathee,2023-05-17,5440351,222293,18433,May
60,Cloud Seeding: The Secret to China & Dubai's Rain | Dhruv Rathee,2023-05-14,4445593,178631,8357,May
61,The Kerala Story | True or Fake? | Dhruv Rathee,2023-05-10,18938642,1199900,208105,May
62,Mystery of Hindenburg | The World’s Largest Airship | Dhruv Rathee,2023-05-08,4551916,168353,5013,May
63,Theory of Evolution | Fact vs Fiction | How Life Originated on Earth? | Dhruv Rathee,2023-05-06,7298530,294683,32459,May
64,The Dark Reality of World's Fattest Country | Case Study | Dhruv Rathee,2023-04-30,5858063,227103,9956,Apr
65,Why Hitler Lost? | World War 2 | Dhruv Rathee,2023-04-26,10656243,293296,10116,Apr
66,The Truth of Pulwama | Satyapal Malik Allegations | Dhruv Rathee,2023-04-23,8534817,413508,37285,Apr
67,Why World War 2 Happened? | The Real Reason | Dhruv Rathee,2023-04-20,10722416,306904,13028,Apr
68,Why was Donald Trump Arrested? | Full Case Explained | Dhruv Rathee,2023-04-13,3682429,137923,7543,Apr
69,Israel Crisis 2023 | Largest Protests in History | Explained by Dhruv Rathee,2023-04-11,4303794,171969,11549,Apr
70,Is Amritpal Singh Right? | Khalistan Movement | Dhruv Rathee,2023-04-07,5468330,246496,32018,Apr
71,Rahul Gandhi Disqualified! | Full Case Explained | Dhruv Rathee,2023-04-01,6678166,329715,36084,Apr
72,Mystery of Dinosaurs |  How Did They Become Extinct? | Dhruv Rathee,2023-03-28,8464842,329583,16587,Mar
73,Formula 1 Racing | How the World's Most Dangerous Sport Works? | Dhruv Rathee,2023-03-22,4073928,162326,8138,Mar
74,Downfall of American Banks | Silicon Valley Bank Crash Explained | Dhruv Rathee,2023-03-20,4340239,172952,6578,Mar
75,The Real Story of Dhruv Rathee | 10 Million Special,2023-03-16,9611078,610901,44113,Mar
76,India WINS at Oscars Awards! | How Nominations and Voting Work? | Dhruv Rathee,2023-03-13,4565767,200943,7462,Mar
77,Mystery of Burj Khalifa | How Tall can Humans Build? | Dhruv Rathee,2023-03-06,8873476,266047,7359,Mar
78,Adani and Modi | The Full Story of Fraud Allegations | Dhruv Rathee,2023-03-01,7757842,429876,33982,Mar
79,$3 Trillion Lithium Found in J&K | Geopolitics of Natural Resources | Dhruv Rathee,2023-02-23,7033088,252497,9807,Feb
80,How to Earn Money from Beekeeping? | Ep.2 Jobs Zara Hatke | Dhruv Rathee,2023-02-11,2418821,116905,5583,Feb
81,Reality of Bageshwar Dham Baba | Another Fraud? | Dhruv Rathee,2023-02-09,22372467,1164593,166217,Feb
82,Budget 2023 Analysis | Best Budget Ever? | Dhruv Rathee,2023-02-07,3630489,183228,9835,Feb
83,Gautam Adani vs Hindenburg Report | Explained by Dhruv Rathee,2023-02-02,8109772,391091,22558,Feb
84,Pathaan Controversy | Is Bollywood Hinduphobic? | Shah Rukh Khan | Dhruv Rathee,2023-01-24,6366917,404045,39942,Jan
85,What if India and Pakistan Never Separated? | Dhruv Rathee,2023-01-18,6091367,263430,32475,Jan
86,The Truth of Joshimath | Sinking City of Uttarakhand | Dhruv Rathee,2023-01-17,3492493,175497,5450,Jan
87,The Sad Reality of Avatar 2 | Way of Water | Dhruv Rathee,2023-01-15,5258258,247727,7163,Jan
88,Mystery of Flight IC-814 | The Worst Plane Hijacking in Indian History | Dhruv Rathee,2023-01-08,11141970,396833,10430,Jan
89,Can I be a Helicopter Pilot? | Ep.1 Jobs Zara Hatke,2023-01-01,2060977,101027,6418,Jan
