,Title,Published_date,Views,Likes,Comments,Month
1833,String theory and the hidden structures of the universe - Clifford Johnson,2013-04-22,127704,1670,303,Apr
1834,Dare to educate Afghan girls - Shabana Basij-Rasikh,2013-04-21,43176,690,0,Apr
1835,From mach-20 glider to humming bird drone - Regina Dugan,2013-04-20,19210,444,95,Apr
1836,A giant bubble for debate - Liz Diller,2013-04-19,9155,54,13,Apr
1837,Is our universe the only universe? - Brian Greene,2013-04-19,2023741,30717,1715,Apr
1838,How do we heal medicine? - Atul Gawande,2013-04-19,7717,124,9,Apr
1839,How can technology transform the human body? - Lucy McRae,2013-04-19,13195,163,31,Apr
1840,"Connected, but alone? - Sherry Turkle",2013-04-19,137623,1397,89,Apr
1841,Mysteries of vernacular: Miniature - Jessica Oreck,2013-04-19,41776,787,30,Apr
1842,How does an atom-smashing particle accelerator work? - Don Lincoln,2013-04-18,588741,10949,573,Apr
1843,How to live to be 100+ - Dan Buettner,2013-04-17,787300,9195,484,Apr
1844,The magic of Vedic math - Gaurav Tekriwal,2013-04-16,4576375,124338,5445,Apr
1845,How to solve traffic jams - Jonas Eliasson,2013-04-15,14039,191,23,Apr
1846,What is Zeno's Dichotomy Paradox? - Colm Kelleher,2013-04-15,3680376,69906,3771,Apr
1847,Every city needs healthy honey bees - Noah Wilson-Rich,2013-04-14,39973,596,60,Apr
1848,A future beyond traffic gridlock - Bill Ford,2013-04-13,25581,446,90,Apr
1849,Why I must speak out about climate change - James Hansen,2013-04-12,58554,616,399,Apr
1850,We need to talk about an injustice - Bryan Stevenson,2013-04-12,134019,1754,99,Apr
1851,The Earth is full - Paul Gilding,2013-04-12,20124,109,33,Apr
1852,The quest to understand consciousness - Antonio Damasio,2013-04-12,35615,329,31,Apr
1853,"Less stuff, more happiness - Graham Hill",2013-04-12,79088,655,17,Apr
1854,How is power divided in the United States government? - Belinda Stutzman,2013-04-12,3231752,32291,1491,Apr
1855,What's a snollygoster? A short lesson in political speak - Mark Forsyth,2013-04-10,5766,88,5,Apr
1856,What cameras see that our eyes don't - Bill Shribman,2013-04-10,375495,4264,232,Apr
1857,"The beginning of the universe, for beginners - Tom Whyntie",2013-04-09,1215474,10961,2052,Apr
1858,The strange politics of disgust - David Pizarro,2013-04-08,4617,61,13,Apr
1859,Self-assembly: The power of organizing the unorganized - Skylar Tibbits,2013-04-08,73568,801,101,Apr
1860,"Healthier men, one moustache at a time - Adam Garone",2013-04-07,30323,632,48,Apr
1861,A light switch for neurons - Ed Boyden,2013-04-06,23426,607,67,Apr
1862,Different ways of knowing - Daniel Tammet,2013-04-05,60082,889,27,Apr
1863,A Rosetta Stone for the Indus script - Rajesh Rao,2013-04-05,57649,1051,119,Apr
1864,Try something new for 30 days - Matt Cutts,2013-04-05,1889996,23552,536,Apr
1865,Unintended consequences - Edward Tenner,2013-04-05,20233,91,4,Apr
1866,"Doodlers, unite! - Sunni Brown",2013-04-05,27847,203,13,Apr
1867,8 traits of successful people - Richard St. John,2013-04-05,7044974,0,2747,Apr
1868,The power of passion - Richard St. John,2013-04-05,537255,0,246,Apr
1869,Why it pays to work hard - Richard St. John,2013-04-05,726701,0,491,Apr
1870,Mysteries of vernacular: Noise - Jessica Oreck,2013-04-05,50401,875,65,Apr
1871,Mysteries of vernacular: Hearse - Jessica Oreck,2013-04-04,33356,707,67,Apr
1872,A call to invention: DIY speaker edition - William Gurstelle,2013-04-04,88221,1177,73,Apr
1873,The future of lying - Jeff Hancock,2013-04-03,96720,820,48,Apr
1874,Mysteries of vernacular: Assassin - Jessica Oreck,2013-04-03,63539,519,33,Apr
1875,Networking for the networking averse - Lisa Green Chau,2013-04-03,209951,2559,132,Apr
1876,Mysteries of vernacular: Pants - Jessica Oreck,2013-04-02,46937,450,47,Apr
1877,Who is Alexander von Humboldt? - George Mehler,2013-04-02,291045,4792,185,Apr
1878,TED-Ed YouTube Channel Teaser,2013-04-02,1263033,0,0,Apr
1879,Kids need structure - Colin Powell,2013-04-01,8891,205,27,Apr
1880,Mysteries of vernacular: Clue - Jessica Oreck,2013-04-01,72923,1137,46,Apr
1881,Early forensics and crime-solving chemists - Deborah Blum,2013-04-01,80465,714,24,Apr
1882,The mystery of chronic pain - Elliot Krane,2013-03-31,210445,4025,498,Mar
1883,Building the Seed Cathedral - Thomas Heatherwick,2013-03-30,44876,1299,68,Mar
1884,Building a dinosaur from a chicken - Jack Horner,2013-03-29,38282,520,53,Mar
1885,Making sense of a visible quantum object - Aaron O'Connell,2013-03-29,25154,431,32,Mar
1886,Making a car for blind drivers - Dennis Hong,2013-03-29,20178,146,11,Mar
1887,How we'll stop polio for good - Bruce Aylward,2013-03-29,14001,104,22,Mar
1888,"The weird, wonderful world of bioluminescence - Edith Widder",2013-03-29,123429,1454,52,Mar
1889,Want to be happier? Stay in the moment - Matt Killingsworth,2013-03-29,126972,1164,131,Mar
1890,Your brain on video games - Daphne Bavelier,2013-03-27,173124,3103,489,Mar
1891,Become a slam poet in five steps - Gayle Danley,2013-03-27,771477,15752,385,Mar
1892,Euclid's puzzling parallel postulate - Jeff Dekofsky,2013-03-26,177576,2851,159,Mar
1893,Could the sun be good for your heart? - Richard Weller,2013-03-25,7192,109,6,Mar
1894,Haptography: Digitizing our sense of touch - Katherine Kuchenbecker,2013-03-25,393786,1698,84,Mar
1895,Are we ready for neo-evolution? - Harvey Fineberg,2013-03-24,48220,1168,521,Mar
1896,The lost art of democratic debate - Michael Sandel,2013-03-23,48961,1081,162,Mar
1897,Building a museum of museums on the web - Amit Sood,2013-03-22,53882,560,16,Mar
1898,The hidden power of smiling - Ron Gutman,2013-03-22,67272,618,46,Mar
1899,"Silk, the ancient material of the future - Fiorenzo Omenetto",2013-03-22,145194,769,24,Mar
1900,The hidden beauty of pollination - Louie Schwartzberg,2013-03-22,31174,224,9,Mar
1901,"Beware online ""filter bubbles"" - Eli Pariser",2013-03-22,65980,681,46,Mar
1902,Your elusive creative genius - Elizabeth Gilbert,2013-03-22,140140,2410,162,Mar
1903,How farming planted seeds for the Internet - Patricia Russac,2013-03-21,160404,1093,173,Mar
1904,Why do we see illusions? - Mark Changizi,2013-03-20,124821,1810,110,Mar
1905,Dear Subscribers...,2013-03-19,264556,1013,107,Mar
1906,The story behind the Boston Tea Party - Ben Labaree,2013-03-18,1405920,10705,759,Mar
1907,Social animal - David Brooks,2013-03-17,22499,541,47,Mar
1908,Let's use video to reinvent education - Salman Khan,2013-03-16,106825,2394,154,Mar
1909,3 things I learned while my plane crashed - Ric Elias,2013-03-15,77685,914,42,Mar
1910,On being wrong - Kathryn Schulz,2013-03-15,49679,647,36,Mar
1911,The history of our world in 18 minutes - David Christian,2013-03-15,300726,3070,394,Mar
1912,The greatest TED Talk ever sold - Morgan Spurlock,2013-03-15,5848622,39747,1082,Mar
1913,The sound the universe makes - Janna Levin,2013-03-15,26360,358,18,Mar
